Akun,Tweet,Lokasi
https://twitter.com/LubisDarlina,"Hasil survei POLSTAT menunjukkan jika pilpres dilaksanakan saat ini Prabowo Subianto dipilih oleh 33% responden. 

#PrabowoUnggul 

#IkutPakde",
https://twitter.com/LubisDarlina,"Survei Capres POLSTAT: Prabowo 33%, Ganjar 20,6%, Anies 19,4%

#PrabowoUnggul 

#IkutPakde",
https://twitter.com/LubisDarlina,"Selain di simulasi yang bersifat terbuka, Prabowo juga menempati posisi teratas dalam simulasi tertutup survei Median tersebut.

#PrabowoUnggul 

#IkutPakde",
https://twitter.com/LubisDarlina,"Survei: Elektabilitas Prabowo di Posisi Pertama dalam Simulasi Pilpres 2024

#PrabowoUnggul 

#IkutPakde",
https://twitter.com/LubisDarlina,"Survei Indostrategi juga memperlihatkan dari simulasi head to head, Prabowo unggul saat berhadapan dengan Ganjar maupun Anies. 

#PrabowoUnggul 

#IkutPakde",
https://twitter.com/JuliusWijarnako,"Transmisinya mengadopsi otomatik 6 percepatan.
#PrabowoUnggul #IkutPakde Prabowo Subianto",
https://twitter.com/SherynaTantri,@mingskyyy_ @JuliusWijarnako Prabowo akan indah pada waktunya pasti,
https://twitter.com/ngisormejo,"@sethrash666 akmil paling gokil, lulusan situ hartanya rata2 triluinan semua, mulai prabowo, luhut dll",
https://twitter.com/Aja6Saad,@DokterTifa Saya setuju klo Prabowo memimpin perang Krn dia bidang kemiliteran tp utk menjadi presiden yg baik dan bertanggung jwb terhadap bangsa TDK Harus dari seorang militer,
https://twitter.com/boyuum1,@Reia_76 Uoohh pantat yuuka 😭😭😭❤️❤️❤️🖐️🍑🖐️🍑,
https://twitter.com/agusdwiprabowo,Wkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwkwk,
https://twitter.com/Bunga___Namaku,@KaosBakoel @ch_chotimah2 Dibegoin Prabowo-Sandi yaa....🤣🤣🤣,
https://twitter.com/Kapanla91,"Loyalisnya masih setia berada disekitar Prabowo sampai saat ini. 

#PrabowoUnggul
#BangkitBersama",
https://twitter.com/Kapanla91,"10 Keunggulan Prabowo Dibanding Figur Lainnya untuk Maju di Pilpres 2024

#PrabowoUnggul
#BangkitBersama",
https://twitter.com/JuliusWijarnako,"Lalu, seperti apa spesifikasi dan fungsi dari masing-masing ranpur serta rantis tersebut? Berikut ulasannya.
#PrabowoUnggul #IkutPakde Prabowo Subianto",
https://twitter.com/WulandaPrabowo,"setiakanlah cintaku, sejahterakanlah keluargaku, dan besarkanlah kemanfaatanku bagi sesama.",
https://twitter.com/UnameOne,"Angkatan Laut yang sangat kuat dan Korps Marinir yang sangat kuat. Karena itulah TNI AL akan kita perkuat, Marinir akan kita modernisasi,” tegas Menhan Prabowo.

Prabowo Subianto
#PrabowoNana2024
#BangkitBersama",
https://twitter.com/kanitanafiza,"Apa udh bisa blg, Semua akan Prabowo pd waktunya?
Pens najwa mana suaranyaa 😅",
https://twitter.com/Saico11M,"@Gerindra sehat sehat selalu pak @prabowo 

minDra aku durung diFB 😉",
https://twitter.com/NovendraPutra4,@Gerindra Sehat selalu ayahnda @prabowo,
https://twitter.com/KingGaseng,"Perisapan musuh club biasa , latihan e guyon hehe",
https://twitter.com/denmasestu,@nafri_aytida @ricky_DCLXVI @Alfianwisnu087 @SukaFotoBis @BisKota_ Thermo king klasik,"Place(id='420f122b6bea262c', fullName='Lemahabang, Indonesia', name='Lemahabang', type='city', country='Indonesia', countryCode='ID')"
https://twitter.com/denmasestu,@arthawidhi @Alfianwisnu087 @ricky_DCLXVI @SukaFotoBis @BisKota_ Terima kasih banyak,"Place(id='420f122b6bea262c', fullName='Lemahabang, Indonesia', name='Lemahabang', type='city', country='Indonesia', countryCode='ID')"
https://twitter.com/Hum4nNeRr0R_,"Ramah,gagah dan ikhla dan tulus fix udah cocok jadi pemimpin bangsa 
#PrabowoUnggul Prabowo Subianto",
https://twitter.com/denmasestu,@iqiwqiw Betuls,"Place(id='420f122b6bea262c', fullName='Lemahabang, Indonesia', name='Lemahabang', type='city', country='Indonesia', countryCode='ID')"
https://twitter.com/denmasestu,@Widhi_Waskito @BisKota_ @ricky_DCLXVI @Alfianwisnu087 @SukaFotoBis Everlasting,"Place(id='420f122b6bea262c', fullName='Lemahabang, Indonesia', name='Lemahabang', type='city', country='Indonesia', countryCode='ID')"
https://twitter.com/harrispradana_,"Dukungan semakin  banyak mengalir dari berbagai pihak, semangat pak Prabowo Subianto!
#PrabowoUnggul Prabowo Subianto",
https://twitter.com/AdiPrabowo055,Tiap liat snapgram azka di japan https://t.co/e0iZUbCgih,
https://twitter.com/thegalihprabowo,"@unnesmenfess Sebelum POM Bensin Muntal, kiri jalan ada JNE sekaligus tempat jualan baju. Disitu shopee shipper.",
https://twitter.com/harrispradana_,"Dukungan semakin  banyak mengalir dari berbagai pihak, semangat pak Prabowo Subianto!
#PrabowoUnggul Prabowo Subianto",
https://twitter.com/_stalinorgel_,"Pas ngampus, saya lebih memilih B. Seenggaknya biar enggak keliatan kek bopung yang baru ketimpahan duren.",
https://twitter.com/harrispradana_,"Dukungan semakin  banyak mengalir dari berbagai pihak, semangat pak Prabowo Subianto!
#PrabowoUnggul Prabowo Subianto",
https://twitter.com/PolrestaBeJeEm,"Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/zROk7Fey2t., menjadi pemateri dalam Rakornas Badan Nasional Penanggulangan Bencana (BNPB) di Jakarta pada Kamis (2/3). https://t.co/fJRoJnhQGp",
https://twitter.com/tantrisheryna,"""Terima kasih Bapak Menteri Pertahanan RI, @prabowo sudah berkenan ikut mendoakan Kota Medan,"" tulis Bobby.
#PrabowoUnggul #IkutPakde Prabowo Subianto",
https://twitter.com/tantrisheryna,"Bertemu di Medan, Prabowo Puji Kepemimpinan Bobby Nasution
#PrabowoUnggul #IkutPakde Prabowo Subianto",
https://twitter.com/Kawulo79,@Android_AK_47 @prabowo Mau diganti pak Jokowi,
https://twitter.com/JuliusWijarnako,"""Terimakasih atas kepercayaan Bapak Menhan dan Kementerian Pertahanan terhadap industri pertahanan, PT Pindad (Persero)."" ujar Abraham.
#PrabowoUnggul #IkutPakde Prabowo Subianto",
https://twitter.com/JuliusWijarnako,"Seluruh kendaraan tersebut dipergunakan untuk memperkuat sistem pertahanan yang ada di Tentara Nasional Indonesia.
#PrabowoUnggul #IkutPakde Prabowo Subianto",
https://twitter.com/akhbow,@kompascom ............,
https://twitter.com/mharfad354,"@SuperThamara @MDM_Rakindo @firzahusainInc Kami TDK peduli sama Ganjar mau partai apa, kami pendukung Jokowi.kami akan dukung Prabowo, yg penting bkn imigrant Yaman.",
https://twitter.com/_stalinorgel_,Lagi ngelas malah korsleting :'),
https://twitter.com/akhbow,@KompasTV Yakin bisa Pak?,
https://twitter.com/_stalinorgel_,@notahotdaddy @FMisanthropia Hanneman di sini cupu bener~,
https://twitter.com/damario04,"Prabowo , jokowi , prabowo , jokowi , SBY !!!",
https://twitter.com/damario04,"Prabowo , jokowi , prabowo , jokowi , SBY !!!",
https://twitter.com/DarmawangsaDar2,"@Android_AK_47 @prabowo Nanti dia lengser , ya ditulis lagi sejarah pak Harto nya ...main hapus aja, emang dia siapa",
https://twitter.com/sumsel24,31 Purnawirawan Perwira Tinggi TNI-POLRI Dukung Anies Baswedan Maju di Capres Berpasangan dengan AHY: Letjen TNI Purn. R. Ediwan Prabowo bersama 30 Purnawirawan Perwira Tinggi TNI-POLRI menyatakan dukungan terhadap Anies Baswedan Capres 2024. https://t.co/lw6ZS9AdKV,
https://twitter.com/PolrestaBeJeEm,"Kapolri Bicarakan Upaya Manajemen Risiko Bencana

Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/zROk7Fe0cV., menekankan pentingnya penguatan manajemen risiko bencana alam di Indonesia. Hal tersebut untuk menindaklanjuti instruksi Presiden RI Ir. H. Joko Widodo https://t.co/BJFx3MnygY",
https://twitter.com/Gooneurysm,@Gunnersc0m Prefer Kieran Tierney all the way.,
https://twitter.com/zxnm88473822,"Sekjen DPP Gerindra Ajak Partai yang Sudah Punya Capres untuk Dukung Prabowo
#PrabowoUnggul #IkutPakde Prabowo Subianto",
https://twitter.com/kusnansaja14,"@Muhammad_Saewad Fix....prediksi / ketakutan PDIP yg akan jadi Presiden adalah Anies, bukan Prabowo ato Ganjar seperti di survei survei.",
